ID	AGO	ALB	ANT	ARE	ARG	AUS	BEL	BEN	BGD	BGR	BHS	BRA	CAN	CHE	CHL	CMR	CPV	CRI	CUB	DEU	DMA	DNK	DOM	ESP	ETH	FRA	GBR	GHA	GRC	GTM	GUY	HKG	HND	HRV	HTI	IND	IRL	ISR	ITA	JAM	JPN	KEN	LUX	MAR	MEX	MOZ	NGA	NIC	NLD	PAK	PAN	PHL	PNG	POL	PRI	PRT	PRY	ROU	RUS	SAU	SLV	SUR	SWE	SYR	TTO	TUR	TZA	UKR	URY	USA	VEN	VNM	ZAF	ZMB
AFG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-	-	286	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ALB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ANT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1616	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ARE	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	10167	-	-	-	-	-	-	-	-	-	-	183	-	-	-	-	254	-	-	-	3	-	-	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ARG	-	-	-	-	-	-	-	-	-	84	-	-	-	4	10	-	-	-	-	46	-	-	-	424	-	13	-	-	-	-	-	-	-	-	-	-	11	-	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	663	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ARM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-
AUT	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BEL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	-	-	-	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
BEN	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	-	241	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BGD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	195	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BGR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	-	-	-	-	-	-	-	-	-	-	71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	-	-	-	-	-	-	-	-
BMU	-	-	-	-	-	-	614	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BOL	-	-	-	-	-	-	5	-	-	-	-	-	-	25	7354	-	-	-	20	563	-	-	-	595	-	5	3	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	263	13543	213	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58
BRA	-	-	-	-	-	-	7	-	-	18	-	-	-	99	-	-	-	-	66	229	-	-	539	21306	-	135	45	163	12	-	-	-	-	-	-	2515	-	-	572	-	-	-	245	233	-	8	683	-	-	97	-	-	-	72	-	5645	958	-	35	-	-	-	-	75	-	-	-	-	-	-	-	-	-	-
BRB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	143	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CHE	-	-	-	-	-	-	4	229	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CHL	-	-	-	-	-	43502	-	-	-	11	-	-	-	-	-	-	-	-	-	5	-	-	-	1211	-	30	-	-	-	-	-	-	-	-	-	-	-	-	360	-	-	-	-	-	3948	-	-	-	-	-	-	-	-	-	-	222	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CHN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	166	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CMR	-	-	-	-	-	-	15	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
COL	-	-	-	-	-	-	43692	-	-	-	-	-	-	-	621	-	-	17635	90	540	-	-	15591	7141	-	53	-	-	-	16843	-	-	2453	172	-	48	-	-	325	-	-	-	-	-	43713	-	-	5138	-	-	-	500	-	-	-	274	-	1546	6	-	414	-	-	-	-	-	-	-	-	-	143962	-	-	-
CPV	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CRI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	223	-	-	2199	1357	-	4	-	-	-	-	-	-	-	-	-	-	-	-	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	24	-	-	369	-	-	-	-	-	-	-	-	-	-	-	-	-
CUB	-	-	-	-	-	-	-	-	-	-	331	-	-	-	-	-	-	-	-	-	-	-	-	2	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	36	-	-	-	-	35	-	-	-	4	-	-	-	-	-	-	-	-	-	90	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CUW	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CZE	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DEU	-	55	-	-	-	-	30	-	-	-	-	-	-	13	-	-	-	-	-	-	-	30	-	14	-	-	190	-	-	-	-	43617	-	-	-	-	-	7	151	-	-	-	-	5	-	-	-	-	20	-	-	-	-	32	-	4	-	-	10	-	-	-	42	-	-	81	-	-	-	-	-	328	-	71
DMA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DNK	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-
