ID	ALB	ARM	AUS	AUT	AZE	BEL	BGD	BGR	BHR	BLR	BRA	CAN	CHE	CHN	CZE	DEU	DOM	ECU	EGY	ESP	ETH	FRA	GBR	GEO	GRC	GTM	HRV	HUN	IDN	IND	IRN	IRQ	ITA	JOR	JPN	KAZ	KEN	KGZ	KOR	LBN	LKA	LVA	MDG	MEX	MKD	MOZ	MYS	NER	NGA	NLD	NPL	PAK	PER	PHL	POL	PRK	PRT	RUS	SDN	SLV	SRB	SWE	SYR	THA	TJK	TUR	TWN	TZA	UGA	UKR	USA	UZB	VEN	VNM	ZAF
AFG	-	-	-	-	534	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43680	-	-	37	-	-	3170	-	-	-	3242	46097	-	2	-	-	1873	-	1875	-	-	-	-	-	-	-	-	73	-	-	-	-	90163	-	-	-	-	-	10	190	-	-	-	-	-	2542	-	-	-	-	-	-	2739	-	-	-
ALB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	312	-	-	-	-	-	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ARE	-	-	-	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ARG	-	-	-	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ARM	-	-	-	-	-	-	-	-	-	-	-	118	-	-	-	-	-	-	-	-	-	3	-	55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	380	-	-	-	-
AUT	-	-	-	-	-	-	-	-	-	-	-	-	52	-	-	-	-	-	-	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
AZE	-	-	-	-	-	89	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	-	-	295	-	-	-	-	-
BDI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BEL	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	137	-	-	-	34	-	-	-	-	-	-	-	-	-	-	-	-	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	256	-	-	-	-	-	-	-	-	-	-	-	-	-
BEN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BGR	43469	-	-	52	-	43617	-	-	-	-	-	-	26	-	67	554	-	-	-	11	-	518	79	-	74	-	811	-	-	-	-	-	21	-	-	-	-	-	-	-	-	-	-	-	152	-	-	-	-	259	-	-	-	-	122	-	-	-	-	-	241	-	-	-	26	-	-	-	-	-	-	-	-	-	-
BLR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	453	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
BRA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CHE	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CHN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	623	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
COL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	4697	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	435	-	-	-	-	-	-	-	-	-	-	313	-	-	-	-	-	-	410	-	-	-	-	-	-	-	-	-	-	-	-	3946	-	-
CRI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CZE	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DEU	-	-	133	20	-	24	-	93	-	-	-	-	-	-	-	-	-	-	-	13	-	23	-	-	25	-	-	-	-	-	-	-	527	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DOM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	182	-	-	-	-
DZA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ECU	-	-	-	-	-	-	-	-	-	-	-	19	-	15	-	-	31	-	-	135	-	224	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1432	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	2558	-	-	-	-
ESP	-	-	-	-	-	-	-	-	-	-	669	-	-	-	-	-	-	-	-	-	865	14	25	-	-	-	-	1	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	34	-	-	-	-	-	-	-	-	-	-	-	42	-	-	-	-	-	-
ETH	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
